# step stress 
# step stress 
# step stress 
100 4.04300682575644e+16
200 4.04300682575644e+16
300 4.04300682575644e+16
400 4.04300682575644e+16
500 4.04300682575644e+16
600 4.04300682575644e+16
700 4.04300682575644e+16
800 4.04300682575644e+16
900 4.04300682575644e+16
1000 4.04300682575644e+16
1100 4.04300682575644e+16
1200 4.04300682575644e+16
1300 4.04300682575644e+16
1400 4.04300682575644e+16
1500 4.04300682575644e+16
1600 4.04300682575644e+16
1700 4.04300682575644e+16
1800 4.04300682575644e+16
1900 4.04300682575644e+16
2000 4.04300682575644e+16
2100 4.04300682575644e+16
2200 4.04300682575644e+16
2300 4.04300682575644e+16
2400 4.04300682575644e+16
2500 4.04300682575644e+16
2600 4.04300682575644e+16
2700 4.04300682575644e+16
2800 4.04300682575644e+16
2900 4.04300682575644e+16
3000 4.04300682575644e+16
3100 4.04300682575644e+16
3200 4.04300682575644e+16
3300 4.04300682575644e+16
3400 4.04300682575644e+16
3500 4.04300682575644e+16
3600 4.04300682575644e+16
3700 4.04300682575644e+16
3800 4.04300682575644e+16
3900 4.04300682575644e+16
4000 4.04300682575644e+16
4100 4.04300682575644e+16
4200 4.04300682575644e+16
4300 4.04300682575644e+16
4400 4.04300682575644e+16
4500 4.04300682575644e+16
4600 4.04300682575644e+16
4700 4.04300682575644e+16
4800 4.04300682575644e+16
4900 4.04300682575644e+16
5000 4.04300682575644e+16
# step stress 
100 4.04300682575644e+16
200 4.04300682575644e+16
300 4.04300682575644e+16
400 4.04300682575644e+16
500 4.04300682575644e+16
600 4.04300682575644e+16
700 4.04300682575644e+16
800 4.04300682575644e+16
900 4.04300682575644e+16
1000 4.04300682575644e+16
1100 4.04300682575644e+16
1200 4.04300682575644e+16
1300 4.04300682575644e+16
1400 4.04300682575644e+16
1500 4.04300682575644e+16
1600 4.04300682575644e+16
1700 4.04300682575644e+16
1800 4.04300682575644e+16
1900 4.04300682575644e+16
2000 4.04300682575644e+16
2100 4.04300682575644e+16
2200 4.04300682575644e+16
2300 4.04300682575644e+16
2400 4.04300682575644e+16
# step stress 
100 4.04300682575644e+16
200 4.04300682575644e+16
300 4.04300682575644e+16
400 4.04300682575644e+16
500 4.04300682575644e+16
600 4.04300682575644e+16
700 4.04300682575644e+16
800 4.04300682575644e+16
900 4.04300682575644e+16
1000 4.04300682575644e+16
1100 4.04300682575644e+16
1200 4.04300682575644e+16
1300 4.04300682575644e+16
1400 4.04300682575644e+16
1500 4.04300682575644e+16
1600 4.04300682575644e+16
1700 4.04300682575644e+16
1800 4.04300682575644e+16
# step stress 
100 4.04300682575644e+16
200 4.04300682575644e+16
300 4.04300682575644e+16
400 4.04300682575644e+16
# step stress 
100 4.04300682575644e+16
200 4.04300682575644e+16
